status	path	error
passed	repository/qgis_plugins/labeling_tool/gui/inference_monitor.py	
passed	repository/qgis_plugins/labeling_tool/gui/log_panel.py	
passed	repository/qgis_plugins/labeling_tool/gui/main_dock.py	
passed	repository/qgis_plugins/labeling_tool/plugin.py	
passed	repository/tests/__init__.py	
passed	repository/tests/conftest.py	
passed	repository/tests/create_e9_formal_run.py	
passed	repository/tests/create_e9_formal_sam3_job.py	
passed	repository/tests/create_e9_pipeline_fixture.py	
passed	repository/tests/prepare_v5_l0_run.py	
passed	repository/tests/smoke_boundary_regularizer_geoai.py	
passed	repository/tests/smoke_polygonize_geoai.py	
passed	repository/tests/stress_v5_control_plane.py	
passed	repository/tests/test_accepted_score.py	
passed	repository/tests/test_boundary_ab_validate.py	
passed	repository/tests/test_common_boundary_smoother.py	
passed	repository/tests/test_coverage_simplification.py	
passed	repository/tests/test_deployment_config.py	
passed	repository/tests/test_difference_runtime.py	
passed	repository/tests/test_environment_report.py	
passed	repository/tests/test_environment_status.py	
passed	repository/tests/test_fusion_runtime.py	
passed	repository/tests/test_incremental_fusion.py	
passed	repository/tests/test_model_registry.py	
passed	repository/tests/test_mosaic_builder.py	
passed	repository/tests/test_no_legacy_runtime.py	
passed	repository/tests/test_object_components.py	
passed	repository/tests/test_partition_mosaic.py	
passed	repository/tests/test_pipeline_plan.py	
passed	repository/tests/test_polygonize_mosaic.py	
passed	repository/tests/test_polyline_smoother.py	
passed	repository/tests/test_qgis4_migration.py	
passed	repository/tests/test_result_catalog.py	
passed	repository/tests/test_run_builder_v5.py	
passed	repository/tests/test_run_spec.py	
passed	repository/tests/test_run_state_db.py	
passed	repository/tests/test_sam3_interactive_worker.py	
passed	repository/tests/test_seam_band_validate.py	
passed	repository/tests/test_semantic_batch.py	
passed	repository/tests/test_spatial_planner.py	
passed	repository/tests/test_subpixel_vectorize_experiment.py	
passed	repository/tests/test_subpixel_vectorizer.py	
passed	repository/tests/test_torchscript_runtime.py	
passed	repository/tests/test_work_package_planner.py	
passed	repository/tests/test_work_package_runtime.py	
